low,high,number (1000s),mean,std.err
,,119927,67392,360
0,4999,4245,1249,50
5000,9999,5128,7923,30
10000,14999,7149,12389,28
15000,19999,7370,17278,26
20000,24999,7037,22162,27
25000,29999,6825,27185,28
30000,34999,6222,32081,27
35000,39999,5965,37183,28
40000,44999,5679,42012,30
45000,49999,4987,47199,35
50000,54999,5133,51987,34
55000,59999,4240,57156,38
60000,64999,4459,61941,33
65000,69999,3612,67096,37
70000,74999,3793,72042,37
75000,79999,3137,77007,44
80000,84999,3167,81977,40
85000,89999,2699,87145,46
90000,94999,2532,92012,49
95000,99999,2127,97156,44
100000,104999,2512,101830,44
105000,109999,1797,107162,58
110000,114999,1793,111977,52
115000,119999,1491,117200,54
120000,124999,1482,121841,55
125000,129999,1252,127030,63
130000,134999,1250,132068,66
135000,139999,1061,137206,63
140000,144999,983,141985,71
145000,149999,792,146952,76
150000,154999,990,151781,70
155000,159999,676,157078,73
160000,164999,643,162149,92
165000,169999,547,167074,84
170000,174999,562,171947,87
175000,179999,475,177155,97
180000,184999,468,181953,103
185000,189999,337,187308,118
190000,194999,361,192031,115
195000,199999,291,197120,135
200000,249999,2160,219379,437
250000,9999999,2498,398233,6519